순위,도서명,상세링크,저자,출판사,출판일,판매가(원),평점,리뷰수,책소개
404,교실로 온 ON 제미나이,https://www.yes24.com/product/goods/177808924,"박찬, 김병석, 전수연, 김지용, 구현희, 정보 더 보기/감추기, 박찬, 김병석, 전수연, 김지용, 구현희, 전채원, 홍찬우, 임채원",다빈치books,2026년 03월,19800,10.0,13,"“업무는 가볍게, 수업은 똑똑하게.”
『교실로 ON 제미나이』는 생성형 AI인 구글 제미나이(Gemini)를 교실에서 함께 일하는 보조교사로 활용하는 방법을 담은 현장 중심 실전 가이드북입니다.
제미나이를 아는 것과 교실에서 제대로 쓰는 것은 다릅니다. 이 책은 현직 교사들이 실제 수업과 학교 업무 현장에서 직접 검증한 사례를 바탕으로, 행정 업무는 놀라울 만큼 간단하게 만들고 수업 준비는 훨씬 빠르게 돕는 50가지 맞춤 활용법을 제시합니다.
공문 요약과 학급 운영을 돕는 NotebookLM, 말로 앱을 만드는 바이브 코딩, 실시간 대화형 학습을 지원하는 제미나이 라이브, 이미지와 영상 제작을 돕는 나노바나나, Vids, Veo, 맞춤형 챗봇 Gems, 노코드 제작 도구 Opal, 그리고 다양한 구글 도구와 유튜브까지 교실에서 바로 활용 가능한 기능들을 한 권에 담았습니다.
이 책은 복잡한 이론 설명이 아니라 바로 써먹을 수 있는 프롬프트와 단계별 안내 자료를 제공하여 생성형 AI 활용이 처음인 교사도 부담 없이 시작할 수 있도록 돕습니다. AI가 교사를 대신하는 시대가 아니라, 교사가 AI라는 강력한 도구를 통해 수업에 더 집중하고 학생의 성장을 더 깊이 지원하는 시대를 지향합니다.
『교실로 ON 제미나이』는 제미나이를 교사의 책상 위와 교실 속으로 불러와 행정업무 효율은 높이고 수업의 몰입도는 한 단계 끌어올리는 가장 현실적인 안내서가 될 것입니다."
405,처음이지만 프로처럼 쓰는 캔바 (Canva),https://www.yes24.com/product/goods/177077802,정다은(시재),디지털북스,2026년 03월,27000,10.0,1,"캔바 디자인 입문부터 브랜딩, 마케팅, 자동화까지 한 권에,
1인 크리에이터를 위한 디자인 브랜딩과 수익화 가이드
나만의 디자인 콘텐츠로 수익을 만들고 싶지만 어디서부터 시작해야 할지 막막하신가요? 감각적인 디자인은 타고난 재능이 있어야만 가능하다고 생각하며 포기하지는 않았나요? 디자인은 재능이 아니라 ‘도구’와 ‘전략’의 문제입니다. 콘텐츠 하나를 만드는 데 반나절을 허비하는 1인 기업가부터, 디자인 외주 비용과 소통에 지친 소상공인, 그리고 실무에서 즉시 통하는 디자인 스킬이 필요한 마케터까지. 이제 디자인은 누군가에게 맡겨야 하는 '지출'이 아니라, 내 비즈니스의 가치를 높이는 가장 강력한 '자산'이 됩니다.
글로벌 뷰티 브랜드부터 소상공인까지 수많은 클라이언트와 함께한 캔바 앰배서더 시재가 집필한 『처음이지만 프로처럼 쓰는 캔바』는 포토샵이나 복잡한 툴(tool) 없이, 오직 캔바 하나로 외주 비용은 0원으로 줄이고 나만의 브랜드를 구축하는 방법을 담았습니다. 캔바 계정 만들기, 인터페이스 설명 등 기본 환경부터 템플릿 디자인 실습, 수익화, 브랜딩, 홍보 자동화까지 독자들의 여정을 중심으로 흐름을 구성했습니다. 특히, 디자인 초보자도 바로 현업에 적용할 수 있는 30여 종의 실무 템플릿에는 캔바 앰배서더 시재만의 독보적인 노하우가 담겨 있습니다. 오직 캔바만을 사용해 인스타그램 게시물과 스토리, 포스터, 유튜브 섬네일, 명함, 상세페이지, 프레젠테이션 등 디자인이 필요한 모든 작업물을 만들어 낼 수 있습니다. 이 책과 함께라면 디자인 고민은 끝내고, 돈이 되는 나만의 브랜딩을 시작할 수 있습니다.
※ 2025년에 진행되었던 2026 캔바 업데이트를 모두 반영해 최신 캔바의 모든 매뉴얼과 AI 기능들을 수록하였습니다."
406,AI 에이전트 마스터 클래스,https://www.yes24.com/product/goods/175902524,김구현,한빛미디어,2026년 01월,23400,10.0,66,"랭체인의 기본기부터 최신 MCP 기술까지,
‘살아 있는 AI’를 설계하는 가장 완벽한 로드맵
단순한 챗봇을 넘어 스스로 판단하고 행동하는 ‘AI 에이전트’가 IT 업계의 새로운 표준으로 자리 잡고 있습니다. 이 책은 랭체인의 기초 문법부터 시작하여 Streamlit을 활용한 웹 서비스 구현까지 다뤄, 실무에 즉시 적용 가능한 탄탄한 기반 지식을 다집니다. 그리고 더 나아가 LLM이 스스로 추론하고 도구를 선택하는 ReAct 패턴의 에이전트를 직접 설계하며, 단순한 코드가 지능형 비서로 진화하는 과정을 생생하게 경험할 수 있습니다. 특히 최신 기술인 MCP를 다뤄, 외부 시스템과 유기적으로 연결된 거대한 AI 생태계를 구축하는 방법까지 제시합니다. 코드 한 줄이라는 씨앗이 에이전트라는 나무로 자라 숲을 이루기까지, 나만의 AI 서비스를 꿈꾸는 개발자들에게 가장 확실한 실전 가이드가 되어줄 것입니다.
주요 내용
- AI 에이전트와 LLM 서비스의 구조적 차이와 설계 관점 이해
- 랭체인과 LCEL을 활용해 예측 가능한 에이전트 워크플로 구성
- RAG와 메모리, 도구 연계를 통해 지식 기반 AI 에이전트 구현
- MCP와 실습 프로젝트를 통해 운영 가능한 AI 에이전트 서비스 완성"
407,바로 배워 바로 쓰는 챗봇 수업디자인 A~Z,https://www.yes24.com/product/goods/175490511,"김은현, 박소현, 백진희, 이서연, 이유진, 정보 더 보기/감추기, 김은현, 박소현, 백진희, 이서연, 이유진, 이효진, 정은서",앤써북,2026년 01월,21600,10.0,9,"“코딩 없이도, 바로 수업에 쓰는 챗봇 수업 설계의 모든 것!”
『바로 배워 바로 쓰는 챗봇 수업디자인 A~Z』는 코딩 지식이 없는 교사도 즉시 적용할 수 있는 챗봇 수업 설계 실전 가이드다. AI와 챗봇의 기본 개념부터 시작해, 아이디어 도출 → 챗봇 기획·설계 → 제작 → 교과 융합 → 결과 공유와 성찰까지 실제 수업에 적용한 사이클을 그대로 따라 할 수 있도록 단계별로 안내한다.
이 책의 가장 큰 특징은 ‘챗봇 만들기’에 그치지 않고, 국어·영어·수학·보건·사서·기술·동아리 활동 등 다양한 교과 특성에 맞춘 수업디자인 사례를 풍부하게 제시한다는 점이다. 특히 ‘챗봇 + N교과 융합 프로젝트’ 구성은 2022 개정 교육과정과 AI·디지털 기반 수업 흐름에 정확히 맞닿아 있다.
또한 수업 안전, 디지털 윤리, 책임 있는 AI 활용까지 함께 다루어 현장에서 바로 쓰면서도 안심할 수 있는 수업 설계 기준을 제시한다. 실제 교실에서 검증된 활동지와 자료, 실습 예시가 수록되어 읽는 즉시 ‘내 수업’으로 전환할 수 있다. AI 시대 수업을 바꾸고 싶은 교사를 위한 가장 실천적인 챗봇 수업 안내서. 이 책 한 권이면, 챗봇 수업은 더 이상 어렵지 않다."
408,제대로 알고 쓰는 논문 통계분석 with 파이썬&머신러닝,https://www.yes24.com/product/goods/175122536,노경섭,한빛아카데미,2026년 01월,38000,,0,"결과를 맞추는 통계에서, 데이터가 이끄는 연구로
논문 통계분석의 목적은 데이터 속에서 의미 있는 현상과 패턴을 발견하고, 이를 논리적으로 설명하는 데 있다.
이 책은 데이터를 먼저 탐색하고, 그 안에서 드러난 결과를 바탕으로 연구를 구성하는 귀납적 연구 접근을 정공법으로 제시한다. 또 파이썬과 머신러닝 기반 분석을 통해 기존 통계분석의 한계를 보완하고, 보다 신뢰할 수 있는 논문 작성의 새로운 방향을 제시한다. 파이썬 프로그램을 전혀 몰라도 실습을 차근차근 따라가다 보면 논문과 실무에 바로 적용 가능한 수준까지 자연스럽게 도달할 수 있다. 실제 논문 예시와 인공지능 알고리즘을 활용한 분석 과정을 통해 데이터가 이끄는 연구 결과를 자신의 논문으로 완성할 수 있도록 돕고, 연구자 개인의 지속 가능한 분석 환경을 구축하도록 설계했다.
이 책을 덮을 때쯤, 당신은 더 이상 통계를 두려워하는 연구자가 아니라 데이터 속에서 새로운 진실을 발견하는 능동적인 분석가이자 연구자로 서 있을 것이다. 이제, 새로운 연구 패러다임의 문을 열 시간이다."
409,심리상담과 AI의 융합,https://www.yes24.com/product/goods/175110073,이혜숙,커뮤니케이션북스,2026년 01월,12000,,0,"생성형 AI와 디지털 치료제가 상담 현장에 가져온 변화를 분석한다. AI 리터러시, 윤리, 법제도의 쟁점을 통해 상담사는 무엇을 배우고 지켜야 하는지 묻는다. AI를 조력자로 삼아 인간 중심 상담의 미래를 모색하는 책이다. AI문고. aiseries.oopy.io에서 필요한 인공지능 지식을 찾을 수 있다."
410,왕초보 시니어도 쉽게 따라 하는 챗GPT 사용법,https://www.yes24.com/product/goods/174707316,"곽민철, 정희철",생능북스,2026년 01월,15120,9.8,40,"AI가 무섭던 분도, 이 책 한 권이면 오늘 바로 써봅니다!
스마트폰만 있으면 누구나 시작하는 AI 생활
이제는 누구나 손안의 스마트폰으로 집에서, 직장에서, 심지어 주민센터 업무까지 AI를 활용할 수 있는 시대가 되었습니다. 이 책은 인공지능을 처음 접하는 시니어분들도 쉽게 이해할 수 있도록 구성된 ‘챗GPT 입문서’입니다. “AI가 뭔지 잘 모르겠다”, “괜히 건드렸다가 돈 나갈까 걱정된다”는 시니어분들을 위해 만들어졌습니다.
ChatGPT, 제미나이, 클로드처럼 이름만 들어도 어려운 AI부터 사진을 애니메이션으로 바꾸고, 흑백 사진을 복원하며, 영상·노래·글까지 만들어 주는 최신 AI 기술을 설명서 보듯이 차근차근 따라 할 수 있게 구성했습니다.
특히 이 책은
혼자 있어도 외롭지 않게 대화 상대가 되어 주는 AI
장보기, 항공권, 가계부까지 챙겨 주는 ‘지갑 지킴이 AI’
계약서, 민원 서류, 연금·세금 상담을 도와주는 생활 밀착형 AI
치매 예방 두뇌 훈련, 외국어 학습, 종교 생활까지 돕는 AI 활용법
등 실제 일상에서 바로 써먹을 수 있는 예제만을 담았습니다.
AI는 두려운 기술이 아니라, 우리 삶을 조금 더 편하게 만들어 주는 도구임을 이 책을 통해 경험하게 될 것입니다."
411,AI로 완성하는 고수익 유튜브 운영 비법,https://www.yes24.com/product/goods/174682706,현승효(디스이즈머니),시대인,2026년 01월,16200,9.9,22,"초보자도 성공하는 
AI 시대, 유튜브 채널 운영 전략과 수익화!
AI 도구로 제작 시간은 줄이고,
알고리즘 작동과 검색 노출 원리를 익혀 
단기간에 조회수를 끌어올리는 실전 가이드
유튜브를 시작하고 싶지만 이미 늦은 건 아닐지 망설이고 있나요?
채널을 개설해 콘텐츠를 올려도 구독자는 늘지 않고, 조회수는 두 자리에 머물러 있다고요? 
이는 노력의 문제가 아니라, 유튜브의 핵심 구조를 제대로 이해하지 못했기 때문입니다.
이 책은 알고리즘의 작동 원리부터 검색 노출 전략, 쇼핑과 광고를 포함한 유튜브 수익 창출 방식까지 다년간 여러 기업의 유튜브 채널을 운영하며 얻은 저자의 실무 노하우를 체계적으로 정리했습니다. 또한, AI 도구를 활용해 제작 시간을 줄이고 저자가 직접 개발한 키워드 분석 및 SEO 최적화 도구로 시청자 유입과 구독자 성과를 높이는 방법을 구체적으로 안내합니다."
412,처음 배우는 유니티 6 2D 게임 만들기,https://www.yes24.com/product/goods/174184626,고정운,시대인,2026년 01월,43200,9.8,11,"『처음 배우는 유니티 6 2D 게임 만들기』는 유니티를 처음 접하는 독자부터 실전 게임 개발을 원하는 개발자까지 폭넓게 아우를 수 있도록 구성되어 있으며, 유니티의 기초 개념부터 시작해 실습을 통해 직접 게임을 제작해 나가는 과정을 다룹니다. 기본적인 엔진 사용법은 물론 인터페이스 활용, 스크립트 작성, 물리엔진 적용, 애니메이션 제작 등 다양한 주제를 포괄하여 독자들이 단계적으로 성장할 수 있도록 돕습니다.
특히, 유니티 6을 기반으로 작성된 본서는 실무에서 활용할 수 있는 예제와 함께 실전 경험을 쌓을 수 있도록 구성하고 각 장에서는 개념 설명과 함께 실습을 병행하여 이론과 실무를 동시에 익힐 수 있으며, 이를 통해 독자들은 자신만의 게임을 개발할 수 있는 역량을 갖출 수 있을 것입니다."
413,"API부터 메시징까지, 실무 백엔드 개발자가 알아야 할 5가지 핵심 원리",https://www.yes24.com/product/goods/173934664,김준서,콩콩 컴퍼니,2025년 12월,19500,,0,"코드를 넘어, 아키텍처를 꿈꾸는 당신에게
""Hello, World!""를 출력하고, CRUD API를 만드는 데 성공하셨나요? 축하합니다! 당신은 이제 '동작하는' 코드를 작성할 수 있는 개발자입니다. 하지만 우리의 여정은 여기서 멈추지 않습니다.
내가 만든 API가 블랙프라이데이의 트래픽 폭증을 견딜 수 있을까?
결제는 성공했는데 재고가 없다면 데이터는 어떻게 맞춰야 할까?
기능 하나를 수정했을 뿐인데, 왜 관련 없는 곳에서 버그가 터질까?
금요일 밤, 심장을 졸이며 수동으로 배포하는 일을 언제까지 반복해야 할까?
이러한 질문들에 자신 있게 답할 수 없다면, 당신은 '동작하는 코드'와 '견고하고 확장 가능한 서비스' 사이의 거대한 벽에 부딪힌 것입니다.
이 책은 바로 그 벽을 넘어서기 위한 단단하고 신뢰할 수 있는 지도입니다. 특정 프레임워크의 사용법이나 최신 기술의 현란한 목록을 나열하는 대신, 수십 년간 변치 않는 백엔드 아키텍처의 5가지 핵심 원리를 관통하며 시스템의 뼈대를 세우는 법을 알려줍니다."
414,AI시대 교육혁명 : 태재대학교,https://www.yes24.com/product/goods/171431187,염재호,태재대학교출판문화원,2026년 01월,13500,,0,"인류문명사의 대변혁기, 교육은 어떻게 진화해야 하는가?
AI 전환시대의 교육혁명, 태재대학교의 도전에 주목한다
태재대학교는 AI 전환시대에 부합하는 교육혁신을 이루고 21세기 한반도를 이끌어갈 글로벌 리더를 배출해 내겠다는 목표 아래 2023년 설립된 혁신형 하이브리드 대학이다. 20명 이하 소규모 그룹이 온라인상에서 철저한 토론과 문제해결을 위주로 수업을 진행하는 ‘액티브 러닝’, 미국·중국·일본·러시아 대학에서 일정 기간 머물며 각 국가의 역사와 문화를 이해하고 세계시민으로서의 역량과 리더십을 키우는 교육과정인 ‘글로벌 로테이션’, 학생 개개인이 자신만의 전공을 설계해 나가는 ‘자기 주도 전공 설계’ 등, 태재대학교의 교육 방식은 기존 대학의 그것과 완전히 차별화된다. 고려대학교 19대 총장, 국가인공지능위원회 초대 부위원장을 지낸 고등교육 전문가로서 태재대학교 설립을 주도한 염재호 초대 총장이 국내 최초의 혁신형 하이브리드 대학 태재대학교의 2년간의 교육혁신을 향한 도전을 소개한다."
415,LLM을 위한 프롬프트 엔지니어링,https://www.yes24.com/product/goods/170504549,"존 베리먼, 앨버트 지글러, 김정인",제이펍,2026년 01월,25200,9.7,7,"LLM을 지배하는 건 코드가 아니라 프롬프트다 
결과물 중심의 접근과 달리 프롬프트 엔지니어링 자체를 깊이 있게 탐구한 실전 가이드다. LLM의 구조와 작동 원리, 효과적인 프롬프트 설계 기법, 대화형 워크플로 구성, 성과 평가까지 실무에 필요한 내용을 체계적으로 다룬다. 특히 ‘모델이 학습한 패턴을 모사하는 프롬프트를 설계해야 원하는 출력을 얻을 수 있다’는 원칙을 중심으로, 명확한 언어 사용과 검증된 패턴의 활용, 정보 최소화 등 실질적인 전략을 제시한다. 프롬프트를 ‘쓰는 법’이 아니라 ‘왜 그렇게 써야 하는지’를 설명하며, 시행착오를 줄이는 이론적 기반을 제공한다. 단순한 활용법을 넘어 LLM을 도구로 활용하는 사고방식 자체를 훈련할 수 있게 돕는다."
416,프롬프트를 만드는 프롬프트 GPTs & Gems,https://www.yes24.com/product/goods/169672758,"민진홍, 국난아, 김진수",성안당,2025년 12월,24300,10.0,46,"프롬프트를 만드는 상위 프롬프트, 메타 플롬프트를 만들어 업무에 실속있게 활용할 수 있는 메타 프롬프트 지침서가 나왔다. 반복되는 업무를 템플릿화하여 사용할 수 있는, AI를 마치 전속 비서처럼 업무 도우미로 활용할 수 있는 AI 에이전트(자동화)가 화두인 가운데 내 업무 용도에 맞게 맞춤형으로 앱처럼 만들어 사용하는 프롬프트를 만드는 프롬프트인 메타 프롬프트 제작법, 달리 말하면 커스텀 GPT 제작 기법을 총 망라하여 끝장 정리해주는 책이다.  
이 책은 프롬프트 엔지니어이자 AI 강사들인 세 전문가가 주요 AI 프롬프트인 오픈AI의 챗GPT의 커스텀 GPT인 ‘GPTs(지피티스)’와 구글 제미나이(Gemini)의 ‘Gems(젬스)’. 클로드의 ‘Projects(프로젝츠)’ 세 가지 제작법을 모두 소개한다. 언제까지 AI로부터 단답형 질문과 답만 얻어낼 것인가? 인공지능을 진짜 잘 활용하는 사람들은 템플릿을 만들어 원하는 업무를 인공지능을 통해 자동화하여 효율을 높일 수 있다. 일상 실무 담당 직원 분량을 AI가 대신해 주므로 대기업뿐 아니라 1인 기업가나 소상공인에게도 안성맞춤이다. 
대기업 직장인이나 소상공인, 개개인 모두 업무에서 누구나 활용할 수 있는 실무용 메타 프롬프트 124선과 50선을 독자들에게 다운로드할 수 있도록 PDF 템플릿으로도 제공해 쉽게 활용할 수 있다. 내가 늘 사용하는 AI 챗봇에 이런 기능이 있었나? 놀랄 정도로 챗GPT라면 ‘지침’ 란에 붙여넣고 제미나이라면 ‘요청 사항(Instructions)’에 붙여넣어 저장하면 업무 때마다 실행시켜 다양한 결과를 도출할 수 있다."
417,AI를 움직이는 수학 이야기,https://www.yes24.com/product/goods/169407614,"후루시마 도오루, 하승민",한빛미디어,2025년 12월,29700,10.0,19,"우리가 매일 만나는 기술과 서비스에 숨은 수학을 파헤치다
수학은 어렵고 멀리 있는 것이 아닙니다. 검색, 추천, 이미지 인식, 음성 분석, 위치 서비스까지 우리가 매일 사용하는 기술은 모두 수학의 힘으로 움직입니다. 이 책은 생활 속 친숙한 사례로 AI 시대에 필요한 수학적 사고력을 자연스럽게 길러 줍니다. AI 세상을 이해하는 열쇠를 통해 일상 속 스며든 수학의 힘을 발견해 보세요. 이제 수학은 두려움이 아니라 새로운 가능성의 언어가 될 것입니다."
418,AI와 음악 교육,https://www.yes24.com/product/goods/168635560,윤관기,커뮤니케이션북스,2025년 12월,12000,,0,"음악 교육의 역사와 본질을 짚은 뒤, 노래·연주·감상·창작 활동에 인공지능을 어떻게 접목할 수 있는지 구체적으로 보여 주는 책이다. 기술 활용 방안뿐 아니라 개념 학습 약화, 사교육 결합, 교사 역할 변화 등 쟁점까지 함께 다루며 음악 교과가 AI와 함께 나아갈 방향을 모색한다. AI총서. aiseries.oopy.io에서 필요한 인공지능 지식을 찾을 수 있다."
419,Google로 수업을 바꾸는 교사들의 시크릿,https://www.yes24.com/product/goods/167841837,"정진아, 권재범, 김학민, 박빛나, 박오종, 정보 더 보기/감추기, 정진아, 권재범, 김학민, 박빛나, 박오종, 심하루, 강경욱",교사크리에이터협회,2025년 12월,18900,10.0,54,"교실의 벽을 허물고, 아이들의 배움을 살아 움직이게 만드는 비밀
Google로 수업을 새롭게 디자인한 교사들의 진짜 이야기를 담았다.
열정은 그대로, 수업은 새롭게. 구글이 만든 교실의 변화가 지금 시작된다.
『Google로 수업을 바꾸는 교사들의 시크릿』은 ‘학생 참여형 수업’과 ‘디지털 기반 학습 혁신’을 구글 도구를 통해 실현하는 방법을 담은 실전 수업 활용서이다. Google Classroom, Docs, Slides, Forms, Sheets, Earth, Maps, Sites, Song Maker 등 구글의 주요 도구를 교과 수업과 프로젝트 학습에 자연스럽게 통합할 수 있는 구체적인 수업 설계 방법을 제시한다. 현직 교사 6인이 직접 학교 현장에서 검증한 다양한 활용 사례를 중심으로, 구글 도구가 어떻게 학생 참여를 촉진하고 교사의 수업 설계를 돕는지 생생하게 보여준다. 
Google Classroom으로 학습의 디지털 허브를 구축하고, Docs와 Slides로 협업과 시각적 표현 활동을 확장하며, Forms와 Sheets로 데이터를 기반으로 한 피드백과 평가를 실현한다. 또한 Earth와 Maps를 활용해 세상과 연결된 탐구형 수업을 만들고, Sites와 Song Maker를 통해 학생 개개인의 배움이 담긴 포트폴리오를 완성할 수 있다. 이 책에는 구글을 통해 교실을 새롭게 디자인한 교사들의 수업 철학과 노하우가 담겨있다. 교과의 벽을 허무는 융합 수업, 실시간 협업과 피드백 중심의 학습, 디지털과 아날로그의 경계를 넘어 창의적 배움의 장을 만들고자 하는 교사에게 구체적인 길잡이가 되어줄 것이다."
420,회사에서 바로 통하는 파워포인트 FOR STARTERS,https://www.yes24.com/product/goods/167475617,이화진,한빛미디어,2025년 12월,15300,10.0,28,"누구나 쉽고 빠르게 학습할 수 있는 왕초보 맞춤 파워포인트 입문서!
우선순위 핵심기능으로 파워포인트의 기초부터 실무 활용법까지 단숨에 익힌다!
컴퓨터를 잘 모르거나 오피스 프로그램을 처음 접해보는 독자도 쉽게 배워 실무에 즉시 써먹을 수 있는 파워포인트 핵심기능 88개를 선별했다. 특히 슬라이드 제작에 꼭 필요한 기능부터 빠르게 익힐 수 있도록 24개의 우선순위 핵심기능을 구성해 파워포인트 필수 기능만 먼저 학습할 수 있다. 앞서 배운 핵심기능을 적용하여 실무 슬라이드를 직접 완성해보는 10개의 혼자해보기 예제로 파워포인트 활용 능력을 기를 수 있으며, 어려운 기능은 프레젠테이션 전문 강사인 저자가 친절하게 설명해주는 유튜브 강의(파워포인트티처)로 한번 더 학습할 수 있다. 파워포인트 2010, 2013, 2016, 2019, 2021, 2024, Microsoft 365까지 다양한 버전에서 실습할 수 있고, 미드저니, 냅킨, 샷츠 등 AI 도구를 활용한 프레젠테이션 활용법까지 익힐 수 있다."
421,2026 AI 교육 트렌드,https://www.yes24.com/product/goods/167434734,"박소이, 유영걸, 오유나, 김영준, 김정환, 정보 더 보기/감추기, 박소이, 유영걸, 오유나, 김영준, 김정환, 정나래, 한창훈",길벗,2025년 12월,22500,10.0,23,"배우는 방법도, 일하는 방식도, 살아가는 흐름도 변하는 AI 시대!
교육자들은 아이들에게 무엇을 가르치고, 어떤 교육 문화를 만들어가야 할까요?
생성형 AI의 등장은 초등 교실부터 대학, 기업, 가정에 이르기까지 전 세대에 걸친 교육 현장을 뒤흔들고 있습니다. 아이들은 AI 툴과 튜터를 자연스럽게 사용하고, 부모는 낯선 학습 방식을 마주하며 당황합니다. 대학은 지식 전달의 공간에서 사고를 촉진하는 장으로 바뀌고 있으며, 기업은 문제 해결력과 협업 역량을 새로운 인재의 기준으로 삼고 있습니다. 이제 교육의 무대는 학교를 넘어 유아기부터 청소년기, 성인기, 은퇴 이후까지 이어지는 평생학습의 장으로 확장되고 있습니다.
이 책은 교육 현장에서 이러한 변화의 흐름을 직접 마주한 7인의 교육자들이 기록한 AI 트렌드 리포트입니다. 각자의 현장에서 AI 교육을 실험하고 실행하며 겪은 생생한 실제 사례를 담았고, 치열한 고민과 시행착오 끝에 얻은 팁과 노하우, 인사이트를 아낌없이 공유합니다.
또 교사, 학부모, 정책 담당자, 기업 교육자 모두가 각자의 자리에서 참고할 수 있도록 다양한 현장의 목소리와 실천적 제안을 담았습니다. 이를 통해 AI를 활용한 수업 설계 사례뿐 아니라 가정과 사회, 기업까지 아우르는 전 생애주기의 맥락 속에서 AI 교육을 바라봅니다.
AI는 교육의 도구이자, 동시에 교육의 본질에 새로운 질문을 던지는 존재입니다. 우리는 기술이 아닌 사람을 중심에 두고, 배움의 본질을 지켜내야 합니다. 이 책이 여러분의 교실과 가정, 일터에서 그 변화를 구체적으로 시작할 수 있는 실마리가 되기를 바랍니다."
422,파이썬으로 시작하는 인공지능 기초 수업,https://www.yes24.com/product/goods/167430900,"채상미, 우범윤, 이준용",길벗,2025년 11월,22500,2.0,1,"실습과 원리 이해를 동시에!
실생활 예제로 배우고 파이썬으로 만드는
AI 프로젝트 수업
인공지능(AI)은 더 이상 '먼 미래의 기술'이 아니다. 우리는 이미 일상에서 AI를 경험하고 있다. 교육 분야에서도 마찬가지로, 인공지능이 교육 현장에 본격적으로 도입되면서 학생들은 AI의 원리를 배우고, 이를 통해 새로운 문제를 해결하고자 하는 탐구의 주체가 되어 가고 있다.
이 책은 이러한 변화를 담아, 그저 코드를 따라 치며 결과를 확인하는 단순한 프로그래밍 학습이 아니라 실습과 원리 이해가 유기적으로 연결되도록 구성했다. 한 줄의 코드가 어떤 의미를 갖는지, 그 과정에서 어떤 논리가 작동하는지를 천천히 짚어 가며 “왜 이렇게 되는가?”를 스스로 묻고 생각하고, 관찰하고, 추론하며 깨닫는 과정을 경험하도록 설계했다. 그 과정에서 학생들은 인공지능을 '사고의 파트너'로 만나게 될 것이며, 학습을 넘어 스스로 사고하는 힘을 기르고, 탐구적 태도를 갖춘 학습자로 성장하게 될 것이다.
이 책이 인공지능을 처음 배우는 학생들에게는 흥미롭고 탄탄한 첫걸음이 되고, 수업을 설계하고 지도하는 교사들에게는 새로운 관점과 도전의 기회가 되어줄 것으로 기대한다."
423,일 잘하는 엔지니어의 생각 기법,https://www.yes24.com/product/goods/167405152,"캐리 밀샙, 장현희",책만,2025년 11월,22500,9.7,13,"AI는 쉽게 따라 하기 어려운, 인간 개발자와 엔지니어가 자신의 능력치를 최대로 발휘할 수 있는 신속하고 정확한 문제 해결력과 사고법을 알려주는 책! 
“문제의 본질”을 면밀히 관찰해서 시스템과 솔루션의 “성능”을 개선하고 최적화함으로써, 눈앞의 문제를 빠르고 정확히 해결하기 위한 “엔지니어적 사고의 기술”
-- 
시스템이 느려지면 심각한 문제가 발생한다. 시간과 비용을 낭비하게 되기 때문이다. 심지어 프로젝트가 중단될 수도 있고 경력에 위기가 닥칠 수도 있다. 하지만 무슨 일이 일어나고 있는지를 잘 이해한다면, 성능에 대해 꾸준히 좋은 결정을 내리는 것은 놀라울 정도로 쉽다. 이 책에서는 시스템이 왜 그렇게 동작하고 있는지의 이유를 명확하고 사려 깊게 설명해준다. 
30여 년이 넘는 현장 경력을 보유한 저자 캐리 밀샙은 흥미로운 스토리텔링 기법을 활용한 111가지 일화 속에서 컴퓨터 소프트웨어든 일상 작업이든 (말 그대로) 모든 시스템의 성능을 개선하는 최적화 스킬을 알려준다. 또한, 엔지니어나 개발자가 어떤 사고와 마인드셋을 갖춰야 할지, 어떻게 하면 더욱 일관되고 자신있는 최적화를 수행할 수 있을지를 재미있게 들려준다. 
컴퓨터 프로그램과 프로세스가 여러분의 시간을 어떻게 사용하고 있는지, 그리고 그것을 개선하려면 무엇을 해야 하는지 알고 싶어하는 모든 이를 위한 책이다."
424,C# 스크립트를 활용한 유니티 6 개발,https://www.yes24.com/product/goods/166394010,"렘 애퍼슨, 장세윤",에이콘출판사,2025년 11월,37800,6.4,5,"이 책은 유니티 6와 C# 스크립팅을 통해 게임 개발의 핵심 기술을 단계적으로 익힐 수 있도록 구성돼 있다.
새로워진 렌더링 파이프라인과 UI 시스템, 강화된 멀티플레이어 기능, XR 및 멀티플랫폼 지원 등 최신 기능을 중심으로, 실습 예제를 통해 스크립트 작성과 응용 방법을 배운다. 기초 개념에서부터 비동기 처리, 인공지능, 네트워크, XR까지 폭넓게 다루며, 유니티를 처음 배우는 입문자와 최신 기능을 빠르게 익히려는 개발자 모두에게 유용한 참고 서적이 될 것이다."
